county,year,energy_use
Douglas,2008,1702338668.1929886
Douglas,2009,1735697714.8903952
Douglas,2010,1766184057.4821272
Douglas,2011,1799149414.5611622
Douglas,2012,1837042043.7395453
Douglas,2013,1886185585.0400805
Douglas,2014,1936485589.6921382
Douglas,2015,1981969047.4980128
Douglas,2016,2019689437.4213705
Douglas,2017,2057799333.7146616
Douglas,2018,2093910631.20122
Douglas,2019,2129012860.671617
Douglas,2020,2164070437.6622505
Douglas,2021,2200788142.747626
Douglas,2022,2239138600.9134774
Douglas,2023,2277990556.341349
Douglas,2024,2316730870.444632
Douglas,2025,2355515156.293671
Douglas,2026,2394349226.9069614
Douglas,2027,2432537092.974501
Douglas,2028,2469298273.2828894
Douglas,2029,2505714571.1356077
Douglas,2030,2541524673.6386704
Douglas,2031,2576466061.3654804
Douglas,2032,2610362764.2361317
Douglas,2033,2643009075.454844
Douglas,2034,2674891230.0435166
Douglas,2035,2705863246.7491603
Douglas,2036,2735827719.3398137
Douglas,2037,2764661960.2019606
Douglas,2038,2791046658.718114
Douglas,2039,2815546689.728456
Saguache,1990,28261823.50864808
Saguache,1991,28971581.362513237
Saguache,1992,29344816.096011296
Saguache,1993,29558967.172608543
Saguache,1994,30244250.617719732
Saguache,1995,32263389.339922346
Saguache,1996,33199535.47476174
Saguache,1997,33603363.21920226
Saguache,1998,34043902.57677374
Saguache,1999,35316571.831980236
Saguache,2000,36601478.29156371
Saguache,2001,37219457.112264976
Saguache,2002,38210670.66577286
Saguache,2003,38418703.1412585
Saguache,2004,38180077.65707594
Saguache,2005,38449296.153228894
Saguache,2006,38186196.25794892
Saguache,2007,37684470.877666496
Saguache,2008,37788487.11562345
Saguache,2009,37482557.006651595
Saguache,2010,37329591.95199435
Saguache,2011,37837435.93316811
Saguache,2012,38645091.42294248
Saguache,2013,38063824.21389147
Saguache,2014,37757894.10516438
Saguache,2015,38051587.01027321
Saguache,2016,39183528.41538913
Saguache,2017,39513316.15271393
Saguache,2018,39824611.76812631
Saguache,2019,40120962.30350848
Saguache,2020,40400227.82907396
Saguache,2021,40663234.226734236
Saguache,2022,40720337.30736122
Saguache,2023,40758883.966315575
Saguache,2024,40782691.00084034
Saguache,2025,40798423.45262416
Saguache,2026,40809594.33792903
Saguache,2027,40817089.119460806
Saguache,2028,40821186.38374237
Saguache,2029,40821818.120264925
Saguache,2030,40820316.49632388
Saguache,2031,40815343.00710412
Saguache,2032,40805820.17268311
Saguache,2033,40794312.132316396
Saguache,2034,40781637.2863702
Saguache,2035,40768358.6672779
Saguache,2036,40754596.04010603
